Year,Month,Product,State,Requirement(in' MT),Availability(in' MT),,,
2014-2015,January,MAP,Uttar Pradesh,0.00,0.00,,,
2014-2015,January,MOP,Uttar Pradesh,10000.00,10934.25,,,
2014-2015,January,NPK,Uttar Pradesh,50000.00,69528.65,,,
2014-2015,January,TSP,Uttar Pradesh,0.00,16125.25,,,
2014-2015,January,UREA,Uttar Pradesh,750000.00,30822.40,,,
2014-2015,January,SSP,Uttar Pradesh,0.00,0.00,,,
2014-2015,January,DAP,Uttaranchal,0.00,122.50,,,
2014-2015,January,MAP,Uttaranchal,0.00,0.00,,,
2014-2015,January,MOP,Uttaranchal,0.00,183.75,,,
2014-2015,January,NPK,Uttaranchal,0.00,4454.90,,,
2014-2015,January,TSP,Uttaranchal,0.00,0.00,,,
2014-2015,January,UREA,Uttaranchal,0.00,418.10,,,
2014-2015,January,SSP,Uttaranchal,0.00,0.00,,,
2014-2015,January,DAP,West Bengal,50000.00,8750.43,,,
2014-2015,January,MAP,West Bengal,0.00,0.00,,,
2014-2015,January,MOP,West Bengal,28000.00,45825.00,,,
2014-2015,January,NPK,West Bengal,50000.00,48361.51,,,
2014-2015,January,TSP,West Bengal,0.00,7377.55,,,
2014-2015,January,UREA,West Bengal,160000.00,4524.81,,,
2014-2015,January,SSP,West Bengal,0.00,0.00,,,
2014-2015,February,DAP,Andaman & Nicobar,0.00,0.00,,,
2014-2015,February,MAP,Andaman & Nicobar,0.00,0.00,,,
2014-2015,February,MOP,Andaman & Nicobar,0.00,0.00,,,
2014-2015,February,NPK,Andaman & Nicobar,0.00,0.00,,,
2014-2015,February,TSP,Andaman & Nicobar,0.00,0.00,,,
2014-2015,February,UREA,Andaman & Nicobar,0.00,0.00,,,
2014-2015,February,SSP,Andaman & Nicobar,0.00,0.00,,,
2014-2015,February,DAP,Andhra Pradesh,25000.00,15307.42,,,
2014-2015,February,MAP,Andhra Pradesh,0.00,0.00,,,
2014-2015,February,MOP,Andhra Pradesh,25000.00,33876.05,,,
2014-2015,February,NPK,Andhra Pradesh,96000.00,67498.69,,,
2014-2015,February,TSP,Andhra Pradesh,0.00,0.00,,,
2014-2015,February,UREA,Andhra Pradesh,125000.00,7872.39,,,
2014-2015,February,SSP,Andhra Pradesh,0.00,0.00,,,
2014-2015,February,DAP,Arunachal Pradesh,0.00,0.00,,,
2014-2015,February,MAP,Arunachal Pradesh,0.00,0.00,,,
2014-2015,February,MOP,Arunachal Pradesh,0.00,0.00,,,
2014-2015,February,NPK,Arunachal Pradesh,0.00,0.00,,,
2014-2015,February,TSP,Arunachal Pradesh,0.00,0.00,,,
2014-2015,February,UREA,Arunachal Pradesh,0.00,0.00,,,
2014-2015,February,SSP,Arunachal Pradesh,0.00,0.00,,,
2014-2015,February,DAP,Assam,0.00,6183.90,,,
2014-2015,February,MAP,Assam,0.00,0.00,,,
2014-2015,February,MOP,Assam,0.00,15977.80,,,
2014-2015,February,NPK,Assam,0.00,2053.65,,,
2014-2015,February,TSP,Assam,0.00,0.00,,,
