Year,Month,Product,State,Requirement(in' MT),Availability(in' MT)
2015-2016,September,DAP,Mizoram,0.00,0.00
2015-2016,September,MAP,Mizoram,0.00,0.00
2015-2016,September,MOP,Mizoram,0.00,0.00
2015-2016,September,NPK,Mizoram,0.00,0.00
2015-2016,September,TSP,Mizoram,0.00,0.00
2015-2016,September,UREA,Mizoram,0.00,0.00
2015-2016,September,DAP,Nagaland,0.00,0.00
2015-2016,September,MAP,Nagaland,0.00,0.00
2015-2016,September,MOP,Nagaland,0.00,0.00
2015-2016,September,NPK,Nagaland,0.00,0.00
2015-2016,September,TSP,Nagaland,0.00,0.00
2015-2016,September,UREA,Nagaland,0.00,0.00
2015-2016,September,DAP,Orissa,0.00,11589.73
2015-2016,September,MAP,Orissa,0.00,0.00
2015-2016,September,MOP,Orissa,0.00,15099.15
2015-2016,September,NPK,Orissa,0.00,20790.42
2015-2016,September,TSP,Orissa,0.00,0.00
2015-2016,September,UREA,Orissa,0.00,12625.50
2015-2016,September,DAP,Pondicherry,0.00,111.00
2015-2016,September,MAP,Pondicherry,0.00,0.00
2015-2016,September,MOP,Pondicherry,0.00,0.00
2015-2016,September,NPK,Pondicherry,0.00,94.80
2015-2016,September,TSP,Pondicherry,0.00,0.00
2015-2016,September,UREA,Pondicherry,0.00,0.00
2015-2016,September,DAP,Punjab,0.00,27251.60
2015-2016,September,MAP,Punjab,0.00,0.00
2015-2016,September,MOP,Punjab,0.00,24022.30
2015-2016,September,NPK,Punjab,0.00,1001.87
2015-2016,September,TSP,Punjab,0.00,3355.30
2015-2016,September,UREA,Punjab,0.00,4113.45
2015-2016,September,DAP,Rajasthan,0.00,11993.40
2015-2016,September,MAP,Rajasthan,0.00,0.00
2015-2016,September,MOP,Rajasthan,0.00,2411.60
2015-2016,September,NPK,Rajasthan,0.00,5036.20
2015-2016,September,TSP,Rajasthan,0.00,3526.25
2015-2016,September,UREA,Rajasthan,0.00,3597.35
2015-2016,September,DAP,Sikkim,0.00,0.00
2015-2016,September,MAP,Sikkim,0.00,0.00
2015-2016,September,MOP,Sikkim,0.00,0.00
2015-2016,September,NPK,Sikkim,0.00,0.00
2015-2016,September,TSP,Sikkim,0.00,0.00
2015-2016,September,UREA,Sikkim,0.00,0.00
2015-2016,September,DAP,Tamil Nadu,0.00,21057.60
2015-2016,September,MAP,Tamil Nadu,0.00,0.00
2015-2016,September,MOP,Tamil Nadu,0.00,11810.25
2015-2016,September,NPK,Tamil Nadu,0.00,40921.62
2015-2016,September,TSP,Tamil Nadu,0.00,0.00
2015-2016,September,UREA,Tamil Nadu,0.00,1723.15
2015-2016,September,DAP,Tripura,0.00,1.95
2015-2016,September,MAP,Tripura,0.00,0.00
2015-2016,September,MOP,Tripura,0.00,0.00
2015-2016,September,NPK,Tripura,0.00,155.00
2015-2016,September,TSP,Tripura,0.00,0.00
2015-2016,September,UREA,Tripura,0.00,0.00
2015-2016,September,DAP,Telangana,20000.00,13219.60
2015-2016,September,MAP,Telangana,0.00,0.00
2015-2016,September,MOP,Telangana,20000.00,15693.28
2015-2016,September,NPK,Telangana,100000.00,60066.78
2015-2016,September,TSP,Telangana,0.00,0.00
2015-2016,September,UREA,Telangana,150000.00,3101.48
2015-2016,September,SSP,Telangana,15000.00,0.00
2015-2016,September,DAP,Uttar Pradesh,100000.00,251249.18
2015-2016,September,MAP,Uttar Pradesh,0.00,0.00
2015-2016,September,MOP,Uttar Pradesh,5000.00,55911.05
2015-2016,September,NPK,Uttar Pradesh,45000.00,82660.60
2015-2016,September,TSP,Uttar Pradesh,0.00,16125.25
2015-2016,September,UREA,Uttar Pradesh,300000.00,65209.20
2015-2016,September,DAP,Uttaranchal,0.00,2182.10
2015-2016,September,MAP,Uttaranchal,0.00,0.00
2015-2016,September,MOP,Uttaranchal,0.00,200.30
2015-2016,September,NPK,Uttaranchal,0.00,6659.30
2015-2016,September,TSP,Uttaranchal,0.00,0.00
2015-2016,September,UREA,Uttaranchal,0.00,888.70
2015-2016,September,SSP,Uttaranchal,0.00,0.00
2015-2016,September,DAP,West Bengal,0.00,32602.605
2015-2016,September,MAP,West Bengal,0.00,0.00
2015-2016,September,MOP,West Bengal,0.00,41069.30
2015-2016,September,NPK,West Bengal,0.00,148381.68
2015-2016,September,TSP,West Bengal,0.00,7377.55
2015-2016,September,UREA,West Bengal,0.00,4651.37
2015-2016,September,SSP,West Bengal,0.00,0.00
2015-2016,October,DAP,Andaman & Nicobar,0.00,1000.00
2015-2016,October,MAP,Andaman & Nicobar,0.00,0.00
2015-2016,October,MOP,Andaman & Nicobar,0.00,0.00
2015-2016,October,NPK,Andaman & Nicobar,0.00,500.00
2015-2016,October,TSP,Andaman & Nicobar,0.00,0.00
2015-2016,October,UREA,Andaman & Nicobar,0.00,0.00
2015-2016,October,SSP,Andaman & Nicobar,0.00,0.00
2015-2016,October,DAP,Andhra Pradesh,0.00,12330.50
2015-2016,October,MAP,Andhra Pradesh,0.00,0.00
2015-2016,October,MOP,Andhra Pradesh,0.00,24679.60
2015-2016,October,NPK,Andhra Pradesh,0.00,51971.56
2015-2016,October,TSP,Andhra Pradesh,0.00,0.00
2015-2016,October,UREA,Andhra Pradesh,0.00,19348.60
2015-2016,October,SSP,Andhra Pradesh,0.00,0.00
2015-2016,October,DAP,Arunachal Pradesh,0.00,0.00
2015-2016,October,MAP,Arunachal Pradesh,0.00,0.00
2015-2016,October,MOP,Arunachal Pradesh,0.00,0.00
2015-2016,October,NPK,Arunachal Pradesh,0.00,0.00
2015-2016,October,TSP,Arunachal Pradesh,0.00,0.00
2015-2016,October,UREA,Arunachal Pradesh,0.00,0.00
2015-2016,October,SSP,Arunachal Pradesh,0.00,0.00
2015-2016,October,DAP,Assam,0.00,4615.70
2015-2016,October,MAP,Assam,0.00,0.00
2015-2016,October,MOP,Assam,0.00,6637.25
2015-2016,October,NPK,Assam,0.00,4544.90
2015-2016,October,TSP,Assam,0.00,0.00
2015-2016,October,UREA,Assam,0.00,288.50
2015-2016,October,SSP,Assam,0.00,0.00
2015-2016,October,DAP,Bihar,0.00,63395.35
2015-2016,October,MAP,Bihar,0.00,0.00
2015-2016,October,MOP,Bihar,0.00,33884.60
2015-2016,October,NPK,Bihar,0.00,68952.15
2015-2016,October,TSP,Bihar,0.00,7673.75
2015-2016,October,UREA,Bihar,0.00,3967.65
2015-2016,October,SSP,Bihar,0.00,0.00
2015-2016,October,DAP,Chandigarh,0.00,0.00
2015-2016,October,MAP,Chandigarh,0.00,0.00
2015-2016,October,MOP,Chandigarh,0.00,0.00
2015-2016,October,NPK,Chandigarh,0.00,0.00
2015-2016,October,TSP,Chandigarh,0.00,0.00
2015-2016,October,UREA,Chandigarh,0.00,0.00
2015-2016,October,SSP,Chandigarh,0.00,0.00
2015-2016,October,DAP,Chattishgarh,0.00,15135.96
2015-2016,October,MAP,Chattishgarh,0.00,0.00
2015-2016,October,MOP,Chattishgarh,0.00,17623.05
2015-2016,October,NPK,Chattishgarh,0.00,5585.33
2015-2016,October,TSP,Chattishgarh,0.00,3858.25
2015-2016,October,UREA,Chattishgarh,0.00,3847.40
2015-2016,October,SSP,Chattishgarh,0.00,0.00
