Year,Month,Product,State,Requirement(in' MT),Availability(in' MT),,,
2014-2015,September,UREA,Andaman and Nicobar,0.00,0.00,,,
2014-2015,September,SSP,Andaman and Nicobar,0.00,0.00,,,
2014-2015,September,DAP,Andhra Pradesh,100000.00,7658.60,,,
2014-2015,September,MAP,Andhra Pradesh,0.00,0.00,,,
2014-2015,September,MOP,Andhra Pradesh,45000.00,16526.29,,,
2014-2015,September,NPK,Andhra Pradesh,209000.00,43818.94,,,
2014-2015,September,TSP,Andhra Pradesh,0.00,0.00,,,
2014-2015,September,UREA,Andhra Pradesh,350000.00,14355.60,,,
2014-2015,September,SSP,Andhra Pradesh,60000.00,0.00,,,
2014-2015,September,DAP,Arunachal Pradesh,0.00,0.00,,,
2014-2015,September,MAP,Arunachal Pradesh,0.00,0.00,,,
2014-2015,September,MOP,Arunachal Pradesh,0.00,0.00,,,
2014-2015,September,NPK,Arunachal Pradesh,0.00,0.00,,,
2014-2015,September,TSP,Arunachal Pradesh,0.00,0.00,,,
2014-2015,September,UREA,Arunachal Pradesh,0.00,0.00,,,
2014-2015,September,SSP,Arunachal Pradesh,0.00,0.00,,,
2014-2015,September,DAP,Assam,0.00,2836.70,,,
2014-2015,September,MAP,Assam,0.00,0.00,,,
2014-2015,September,MOP,Assam,0.00,2383.90,,,
2014-2015,September,NPK,Assam,0.00,2994.05,,,
2014-2015,September,TSP,Assam,0.00,0.00,,,
2014-2015,September,UREA,Assam,0.00,247.85,,,
2014-2015,September,SSP,Assam,0.00,0.00,,,
2014-2015,September,DAP,Bihar,0.00,40690.15,,,
2014-2015,September,MAP,Bihar,0.00,0.00,,,
2014-2015,September,MOP,Bihar,0.00,15630.70,,,
2014-2015,September,NPK,Bihar,0.00,29904.55,,,
2014-2015,September,TSP,Bihar,0.00,7673.75,,,
2014-2015,September,UREA,Bihar,0.00,9242.44,,,
2014-2015,September,SSP,Bihar,0.00,0.00,,,
2014-2015,September,DAP,Chandigarh,0.00,0.00,,,
2014-2015,September,MAP,Chandigarh,0.00,0.00,,,
2014-2015,September,MOP,Chandigarh,0.00,0.00,,,
2014-2015,September,NPK,Chandigarh,0.00,0.00,,,
2014-2015,September,TSP,Chandigarh,0.00,0.00,,,
2014-2015,September,UREA,Chandigarh,0.00,0.00,,,
2014-2015,September,SSP,Chandigarh,0.00,0.00,,,
2014-2015,September,DAP,Chattishgarh,0.00,11852.75,,,
2014-2015,September,MAP,Chattishgarh,0.00,0.00,,,
2014-2015,September,MOP,Chattishgarh,0.00,16059.65,,,
2014-2015,September,NPK,Chattishgarh,0.00,5656.30,,,
2014-2015,September,TSP,Chattishgarh,0.00,3858.25,,,
2014-2015,September,UREA,Chattishgarh,0.00,2885.35,,,
2014-2015,September,SSP,Chattishgarh,0.00,0.00,,,
2014-2015,September,DAP,Dadra and Nagar Haveli,0.00,22.65,,,
2014-2015,September,MAP,Dadra and Nagar Haveli,0.00,0.00,,,
2014-2015,September,MOP,Dadra and Nagar Haveli,0.00,0.00,,,
2014-2015,September,NPK,Dadra and Nagar Haveli,0.00,14.05,,,
2014-2015,September,TSP,Dadra and Nagar Haveli,0.00,0.00,,,
2014-2015,September,UREA,Dadra and Nagar Haveli,0.00,0.00,,,
2014-2015,September,SSP,Dadra and Nagar Haveli,0.00,0.00,,,
2014-2015,September,DAP,Daman and Diu,0.00,0.00,,,
2014-2015,September,MAP,Daman and Diu,0.00,0.00,,,
